S_T,E_T,L1,L2,L3,L4
0,20,7,7,0,6
20,40,9,8,0,5
40,60,7,5,6,8
60,80,1,2,4,9
80,100,4,5,1,5
100,120,5,8,8,5
120,140,2,9,6,5
140,160,0,9,4,9
160,180,7,3,4,8
180,200,6,1,5,9
200,220,8,0,2,4
220,240,2,7,6,2
240,260,6,4,2,5
260,280,6,7,8,9
280,300,0,2,9,5
300,320,3,6,8,2
320,340,6,2,3,8
340,360,3,5,2,5
360,380,5,5,6,3
380,400,0,1,5,0
400,420,6,1,2,4
420,440,1,8,2,1
440,460,0,6,0,5
460,480,3,5,3,6
480,500,5,7,6,0
500,520,9,5,8,6
520,540,0,5,4,6
540,560,0,7,9,2
560,580,9,3,2,5
580,600,8,6,3,8
600,620,8,4,7,2
620,640,9,9,6,7
640,660,3,1,6,8
660,680,6,6,8,5
680,700,0,1,1,6
700,720,9,6,6,2
720,740,6,0,0,3
740,760,8,4,3,3
760,780,3,1,5,2
780,800,0,1,8,4
800,820,7,3,7,6
820,840,4,4,5,1
840,860,1,0,9,4
860,880,6,4,9,0
880,900,3,2,3,0
900,920,5,4,1,6
920,940,4,7,5,2
940,960,5,1,6,0
960,980,9,7,8,6
980,1000,5,9,1,7
