Start Time,End Time,EW,WE,NS,SN
00:00:00,00:00:20,1,0,8,8
00:00:20,00:00:40,2,5,1,3
00:00:40,00:01:00,1,8,1,7
00:01:00,00:01:20,3,0,0,9
00:01:20,00:01:40,4,8,7,4
00:01:40,00:02:00,8,3,2,6
00:02:00,00:02:20,8,1,5,4
00:02:20,00:02:40,6,6,9,0
00:02:40,00:03:00,8,7,7,1
00:03:00,00:03:20,8,5,2,4
00:03:20,00:03:40,3,4,3,5
00:03:40,00:04:00,7,7,4,5
00:04:00,00:04:20,5,7,7,2
00:04:20,00:04:40,3,9,3,4
00:04:40,00:05:00,5,6,1,8
00:05:00,00:05:20,1,2,7,4
00:05:20,00:05:40,0,6,7,4
00:05:40,00:06:00,4,3,0,3
00:06:00,00:06:20,2,4,8,5
00:06:20,00:06:40,6,8,8,2
00:06:40,00:07:00,2,3,2,8
00:07:00,00:07:20,4,6,4,4
00:07:20,00:07:40,6,5,0,4
00:07:40,00:08:00,3,1,6,8
00:08:00,00:08:20,5,8,5,2
00:08:20,00:08:40,5,1,6,1
00:08:40,00:09:00,6,3,1,5
00:09:00,00:09:20,6,5,6,7
00:09:20,00:09:40,7,8,5,0
00:09:40,00:10:00,4,6,8,8
00:10:00,00:10:20,6,3,8,4
00:10:20,00:10:40,3,8,0,8
00:10:40,00:11:00,6,8,3,1
00:11:00,00:11:20,8,8,8,3
00:11:20,00:11:40,6,4,5,2
00:11:40,00:12:00,7,9,9,8
00:12:00,00:12:20,6,1,4,0
00:12:20,00:12:40,9,7,2,3
00:12:40,00:13:00,5,4,1,3
00:13:00,00:13:20,8,6,9,0
00:13:20,00:13:40,5,9,8,0
00:13:40,00:14:00,0,3,0,1
00:14:00,00:14:20,1,8,1,4
00:14:20,00:14:40,3,0,3,0
00:14:40,00:15:00,1,4,1,8
00:15:00,00:15:20,7,6,3,1
00:15:20,00:15:40,5,4,8,5
00:15:40,00:16:00,5,9,9,9
00:16:00,00:16:20,1,1,4,4
00:16:20,00:16:40,8,9,6,8
00:16:40,00:17:00,5,5,6,8
00:17:00,00:17:20,0,3,1,4
00:17:20,00:17:40,8,6,3,4
00:17:40,00:18:00,8,6,7,4
00:18:00,00:18:20,2,7,4,3
00:18:20,00:18:40,6,7,9,3
00:18:40,00:19:00,7,3,4,2
00:19:00,00:19:20,9,6,7,4
00:19:20,00:19:40,1,5,1,5
00:19:40,00:20:00,2,9,9,0
00:20:00,00:20:20,8,3,8,2
00:20:20,00:20:40,5,5,0,1
00:20:40,00:21:00,2,4,3,6
00:21:00,00:21:20,9,4,3,4
00:21:20,00:21:40,4,1,6,1
00:21:40,00:22:00,3,9,0,8
00:22:00,00:22:20,0,0,6,1
00:22:20,00:22:40,1,9,5,9
00:22:40,00:23:00,3,1,4,1
00:23:00,00:23:20,4,0,7,8
00:23:20,00:23:40,3,3,4,9
00:23:40,00:24:00,3,6,0,7
00:24:00,00:24:20,6,5,6,3
00:24:20,00:24:40,3,3,6,0
00:24:40,00:25:00,1,7,4,8
00:25:00,00:25:20,7,1,3,1
00:25:20,00:25:40,2,5,9,3
00:25:40,00:26:00,2,5,1,2
00:26:00,00:26:20,9,2,2,9
00:26:20,00:26:40,3,6,3,5
00:26:40,00:27:00,4,3,3,1
00:27:00,00:27:20,3,3,5,6
00:27:20,00:27:40,1,0,9,5
00:27:40,00:28:00,0,2,3,8
00:28:00,00:28:20,4,4,3,5
00:28:20,00:28:40,0,1,5,1
00:28:40,00:29:00,1,7,8,7
00:29:00,00:29:20,6,2,5,6
00:29:20,00:29:40,5,7,1,5
00:29:40,00:30:00,4,2,1,4
00:30:00,00:30:20,9,3,2,5
00:30:20,00:30:40,5,0,8,7
00:30:40,00:31:00,4,9,2,6
00:31:00,00:31:20,4,5,6,8
00:31:20,00:31:40,0,4,8,3
00:31:40,00:32:00,7,5,9,2
00:32:00,00:32:20,2,2,1,0
00:32:20,00:32:40,1,8,4,1
00:32:40,00:33:00,5,2,4,1
00:33:00,00:33:20,5,5,0,2
00:33:20,00:33:40,2,2,0,5
00:33:40,00:34:00,4,8,1,3
00:34:00,00:34:20,3,7,7,1
00:34:20,00:34:40,8,5,0,5
00:34:40,00:35:00,2,7,6,5
00:35:00,00:35:20,0,5,8,7
00:35:20,00:35:40,5,9,4,8
00:35:40,00:36:00,8,2,9,8
00:36:00,00:36:20,1,4,8,1
00:36:20,00:36:40,5,2,8,8
00:36:40,00:37:00,9,8,1,0
00:37:00,00:37:20,8,6,8,0
00:37:20,00:37:40,5,6,2,9
00:37:40,00:38:00,0,8,2,8
00:38:00,00:38:20,1,6,8,5
00:38:20,00:38:40,4,7,3,0
00:38:40,00:39:00,3,5,7,2
00:39:00,00:39:20,2,2,1,5
00:39:20,00:39:40,0,7,7,3
00:39:40,00:40:00,3,9,0,8
00:40:00,00:40:20,5,1,7,8
00:40:20,00:40:40,5,7,5,0
00:40:40,00:41:00,0,2,6,1
00:41:00,00:41:20,2,6,5,6
00:41:20,00:41:40,6,7,5,7
00:41:40,00:42:00,0,6,9,5
00:42:00,00:42:20,5,7,7,4
00:42:20,00:42:40,7,2,1,0
00:42:40,00:43:00,4,7,2,5
00:43:00,00:43:20,8,0,6,1
00:43:20,00:43:40,5,9,5,2
00:43:40,00:44:00,7,9,1,1
00:44:00,00:44:20,9,8,7,6
