step,lane,duration
0,0,26
27,1,41
69,2,26
96,3,43
140,0,37
178,1,9
188,2,5
194,3,41
236,0,6
243,1,28
272,2,16
289,3,31
321,0,5
327,1,24
352,2,16
369,3,22
392,0,24
417,1,19
437,2,14
452,3,14
467,0,12
480,1,30
511,2,21
533,3,25
559,0,38
598,1,22
621,2,43
665,3,12
678,0,15
694,1,20
715,2,44
760,3,43
804,0,15
820,1,11
832,2,16
849,3,20
870,0,15
886,1,21
908,2,20
929,3,24
954,0,31
986,1,26
1013,2,6
1020,3,34
1055,0,8
1064,1,12
1077,2,38
1116,3,37
1154,0,38
1193,1,26
1220,2,8
1229,3,18
1248,0,27
1276,1,9
1286,2,28
1315,3,35
1351,0,24
1376,1,32
1409,2,19
1429,3,41
1471,0,40
